name,handedness,height,weight,avg,HR,BMI,Class,,,,,BMI Limits,
Bill Madlock,R,71,180,0.305,163,25.17357667,Hefty,,,,,,
Keith Hernandez,L,72,180,0.296,162,24.47916667,Hefty,,,,,,
Pete Rose,B,71,192,0.303,160,26.85181512,Hefty,,,,,,
Frank White,R,71,165,0.255,160,23.07577862,Compact,,,,,,
Bill Melton,R,74,200,0.253,160,25.74872169,Hefty,,,,,,
Roy White,B,70,160,0.271,160,23.02040816,Compact,,,,,,
Jim Hickman,R,75,192,0.252,159,24.064,Hefty,,,,,,
Donn Clendenon,R,76,209,0.274,159,25.50986842,Hefty,,,,,,
Ken McMullen,R,75,190,0.248,156,23.81333333,Compact,,,,,,
Doug Rader,R,74,208,0.251,155,26.77867056,Hefty,,,,,,
Davey Lopes,R,69,170,0.263,155,25.17328292,Hefty,,,,,,
Jim Northrup,L,75,190,0.267,153,23.81333333,Compact,,,,,,
Tom Tresh,B,73,180,0.245,153,23.81309814,Compact,,,,,,
Dan Driessen,L,71,187,0.267,153,26.1525491,Hefty,,,,,,
Jim Fregosi,R,73,190,0.265,151,25.13604804,Hefty,,,,,,
Lou Brock,L,71,170,0.293,149,23.77504463,Compact,,,,,,
Sixto Lezcano,R,70,165,0.271,148,23.73979592,Compact,,,,,,
Leon Durham,L,73,185,0.277,147,24.47457309,Hefty,,,,,,
Ruppert Jones,L,70,170,0.25,147,24.45918367,Hefty,,,,,,
Jim Spencer,L,74,195,0.25,146,25.10500365,Hefty,,,,,,
Tommy Harper,R,69,165,0.257,146,24.43289225,Hefty,,,,,,
Jeffrey Leonard,R,74,200,0.266,144,25.74872169,Hefty,,,,,,
Johnny Briggs,L,73,190,0.253,139,25.13604804,Hefty,,,,,,
Willie Montanez,L,72,170,0.275,139,23.11921296,Compact,,,,,,
Jose Cardenal,R,70,150,0.275,138,21.58163265,Lanky,,,,,,
Earl Williams,R,75,215,0.247,138,26.94666667,Hefty,,,,,,
Davey Johnson,R,73,170,0.261,136,22.49014825,Lanky,,,,,,
Paul Blair,R,72,168,0.25,134,22.84722222,Compact,,,,,,
Tom Haller,L,76,195,0.257,134,23.80107341,Compact,,,,,,
Mack Jones,L,73,180,0.252,133,23.81309814,Compact,,,,,,
John Milner,L,72,185,0.249,131,25.15914352,Hefty,,,,,,
Ken Harrelson,R,74,190,0.239,131,24.46128561,Hefty,,,,,,
Jorge Orta,L,70,170,0.278,130,24.45918367,Hefty,,,,,,
Gary Ward,R,74,195,0.276,130,25.10500365,Hefty,,,,,,
Tommie Agee,R,71,195,0.255,130,27.27137473,Hefty,,,,,,
Steve Kemp,L,72,195,0.278,130,26.51909722,Hefty,,,,,,
Mike Epstein,L,75,230,0.244,130,28.82666667,Hefty,,,,,,
Jody Davis,R,76,192,0.245,127,23.43490305,Compact,,,,,,
Aurelio Rodriguez,R,70,180,0.237,124,25.89795918,Hefty,,,,,,
Willie Upshaw,L,72,185,0.262,123,25.15914352,Hefty,,,,,,
Ken Phelps,L,73,209,0.239,123,27.64965284,Hefty,,,,,,
Ellis Valentine,R,76,205,0.278,123,25.02164127,Hefty,,,,,,
Don Lock,R,74,195,0.238,122,25.10500365,Hefty,,,,,,
Ken Henderson,B,74,180,0.257,122,23.17384953,Compact,,,,,,
Nick Esasky,R,75,200,0.25,122,25.06666667,Hefty,,,,,,
Joe Ferguson,R,74,200,0.24,122,25.74872169,Hefty,,,,,,
Dan Ford,R,73,185,0.27,121,24.47457309,Hefty,,,,,,
Gary Roenicke,R,75,205,0.247,121,25.69333333,Hefty,,,,,,
Wayne Gross,L,74,210,0.233,121,27.03615778,Hefty,,,,,,
Jimmie Hall,L,72,175,0.254,121,23.79918981,Compact,,,,,,
Keith Moreland,R,72,190,0.279,121,25.83912037,Hefty,,,,,,
Ed Kranepool,L,75,205,0.261,118,25.69333333,Hefty,,,,,,
Mike Easler,L,72,190,0.293,118,25.83912037,Hefty,,,,,,
Leo Cardenas,R,71,150,0.257,118,20.97798056,Lanky,,,,,,
Garry Maddox,R,75,175,0.285,117,21.93333333,Lanky,,,,,,
Mickey Stanley,R,73,185,0.248,117,24.47457309,Hefty,,,,,,
John Lowenstein,L,72,175,0.253,116,23.79918981,Compact,,,,,,
Rick Reichardt,R,75,210,0.261,116,26.32,Hefty,,,,,,
Bob Robertson,R,73,195,0.242,115,25.79752299,Hefty,,,,,,
Chuck Hinton,R,73,180,0.264,113,23.81309814,Compact,,,,,,
Thurman Munson,R,71,190,0.292,113,26.57210871,Hefty,,,,,,
Greg Walker,L,75,205,0.26,113,25.69333333,Hefty,,,,,,
Jim Morrison,R,71,175,0.26,112,24.47431065,Hefty,,,,,,
Curt Blefary,L,74,195,0.237,112,25.10500365,Hefty,,,,,,
Chris Speier,R,73,175,0.246,112,23.15162319,Compact,,,,,,
Max Alvis,R,71,185,0.247,111,25.87284269,Hefty,,,,,,
Willie Aikens,L,75,220,0.271,110,27.57333333,Hefty,,,,,,
Dave Duncan,R,74,190,0.214,109,24.46128561,Hefty,,,,,,
Phil Garner,R,70,175,0.26,109,25.17857143,Hefty,,,,,,
Fred Whitfield,L,73,190,0.253,108,25.13604804,Hefty,,,,,,
Al Cowens,R,73,197,0.27,108,26.06211297,Hefty,,,,,,
Larry Herndon,R,75,190,0.274,107,23.81333333,Compact,,,,,,
Lee Thomas,L,74,195,0.255,106,25.10500365,Hefty,,,,,,
Bob Boone,R,74,195,0.254,105,25.10500365,Hefty,,,,,,
Tony Gonzalez,L,69,170,0.286,103,25.17328292,Hefty,,,,,,
Eric Soderholm,R,71,187,0.264,102,26.1525491,Hefty,,,,,,
Jay Johnstone,L,73,175,0.267,102,23.15162319,Compact,,,,,,
Steve Yeager,R,72,190,0.228,102,25.83912037,Hefty,,,,,,
Lou Piniella,R,72,182,0.291,102,24.75115741,Hefty,,,,,,
Ollie Brown,R,74,178,0.265,102,22.91636231,Compact,,,,,,
Dave Concepcion,R,74,155,0.267,101,19.95525931,Lanky,,,,,,
Denis Menke,R,72,185,0.25,101,25.15914352,Hefty,,,,,,
